index,betascore,factorscore,index.1,DCIscore,index.2,Completeness,index.3,Informativeness,index.4,R
0.0,0.6648889183998108,0.6666666666666666,0.0,0.13399116475881878,0.0,0.6866524905298227,0.0,0.9928559743311476,0,0.07168616166408083
,,,1.0,0.007569685782310272,1.0,0.336115904491058,1.0,1.2111570633448008,1,0.007861550204532036
,,,2.0,0.005747762683799399,2.0,0.3997773599223641,2.0,1.6355902530206134,2,6.861071056818445e-18
,,,3.0,0.1577329365690293,3.0,0.3983410875136746,3.0,0.8541120657648719,3,0.01181110086740145
,,,4.0,0.004180128107106416,4.0,0.34581529530058003,4.0,0.7398308456788015,4,0.7994099042733752
,,,5.0,0.08171837991411758,,,,,5,0.013485366256013395
,,,6.0,0.09438657461938424,,,,,6,0.011138562539040756
,,,7.0,0.002360562663878857,,,,,7,0.05271245891134873
,,,8.0,0.14795029045840186,,,,,8,0.0
,,,9.0,0.0684753865622066,,,,,9,0.05912458437354135
,,,,,,,,,10,0.0
,,,,,,,,,11,0.029666361723389368
,,,,,,,,,12,0.0010720816192735546
,,,,,,,,,13,0.02851491754246341
,,,,,,,,,14,0.0009799711222316214
,,,,,,,,,15,0.9031898967950756
,,,,,,,,,16,0.4322898657393932
,,,,,,,,,17,0.0006842145724261005
,,,,,,,,,18,0.00041681359918765726
,,,,,,,,,19,0.006678680293267418
,,,,,,,,,20,1.8867945406250725e-17
,,,,,,,,,21,0.03455356192565213
,,,,,,,,,22,0.0015766622978388564
,,,,,,,,,23,0.01022919397003345
,,,,,,,,,24,0.01476930112120034
,,,,,,,,,25,0.0
,,,,,,,,,26,0.4510839715957264
,,,,,,,,,27,0.00034819907136109747
,,,,,,,,,28,0.0032963000640860393
,,,,,,,,,29,0.02075416048189161
,,,,,,,,,30,1.715267764204611e-17
,,,,,,,,,31,0.00636785566567094
,,,,,,,,,32,0.5543135013087676
,,,,,,,,,33,0.028187402263338542
,,,,,,,,,34,0.012285573636121476
,,,,,,,,,35,3.087481975568301e-17
,,,,,,,,,36,0.0
,,,,,,,,,37,0.013143489659125013
,,,,,,,,,38,0.013916859229785136
,,,,,,,,,39,0.004915928775183637
,,,,,,,,,40,0.011638575284830135
,,,,,,,,,41,0.017464908932248457
,,,,,,,,,42,0.0020065340932724366
,,,,,,,,,43,0.9024320027358526
,,,,,,,,,44,0.07717480424008645
,,,,,,,,,45,0.0
,,,,,,,,,46,0.009573361674346786
,,,,,,,,,47,0.3741428584665867
,,,,,,,,,48,0.0011954097278515884
,,,,,,,,,49,0.00390709168310081
