index,betascore,factorscore,index,DCIscore,index,Completeness,index,Informativeness,index,R
0.0,0.6935555555555556,0.3095555555555556,0.0,0.041382233815368784,0.0,0.026256471127138137,0.0,0.7495435427309703,0,0.09801667900316549
,,,1.0,0.025412853688123814,1.0,0.2083828720490608,1.0,0.5288798060826737,1,0.025924078176616096
,,,2.0,0.017253066373159577,2.0,0.039331729230162704,2.0,1.0257649036492325,2,0.1105301244726358
,,,3.0,0.020855823971233565,3.0,0.1846270456273046,3.0,0.3946414338944631,3,0.4548989550658797
,,,4.0,0.008836037329155914,4.0,0.2597800297299657,4.0,0.39213077438058036,4,0.056151042616670505
,,,5.0,0.01568532387454172,,,,,5,0.0958484352195089
,,,6.0,0.05495015528792002,,,,,6,0.06026371297696793
,,,7.0,0.011267989272357731,,,,,7,0.09051216393592076
,,,8.0,0.0068905007000953705,,,,,8,0.03628969657676141
,,,9.0,0.008851884530784957,,,,,9,0.3456826396936078
,,,,,,,,,10,0.08435691315673607
,,,,,,,,,11,0.017811466126191097
,,,,,,,,,12,0.1026480545265403
,,,,,,,,,13,0.08242229613710196
,,,,,,,,,14,0.2578451610833971
,,,,,,,,,15,0.09977126190961501
,,,,,,,,,16,0.04349080623299918
,,,,,,,,,17,0.10840935732869027
,,,,,,,,,18,0.005319823399249581
,,,,,,,,,19,0.23773837868986147
,,,,,,,,,20,0.09967277732701879
,,,,,,,,,21,0.018789721539343367
,,,,,,,,,22,0.10258700228284781
,,,,,,,,,23,0.049947107998827726
,,,,,,,,,24,0.012477582152445014
,,,,,,,,,25,0.10553111847732574
,,,,,,,,,26,0.24674745514113608
,,,,,,,,,27,0.08565184314581199
,,,,,,,,,28,0.19246703372205617
,,,,,,,,,29,0.026876154853782586
,,,,,,,,,30,0.12464971272882665
,,,,,,,,,31,0.45275645352393235
,,,,,,,,,32,0.0759855466819705
,,,,,,,,,33,0.018693062480741852
,,,,,,,,,34,0.003983738019746426
,,,,,,,,,35,0.0995905402180372
,,,,,,,,,36,0.029515279944269248
,,,,,,,,,37,0.11168570397411859
,,,,,,,,,38,0.1112739480556414
,,,,,,,,,39,0.005921300387478705
,,,,,,,,,40,0.10053030406979847
,,,,,,,,,41,0.08740787474678752
,,,,,,,,,42,0.1044698227838582
,,,,,,,,,43,0.033221411239062554
,,,,,,,,,44,0.017473855817215476
,,,,,,,,,45,0.09203225788996762
,,,,,,,,,46,0.0172931515917571
,,,,,,,,,47,0.10752038086760586
,,,,,,,,,48,0.015466665324677687
,,,,,,,,,49,0.035850146685794934
